"p_index","name","college","country","draft_year"
47,"Alec Peters","Valparaiso","USA","2017"
48,"Aleem Ford","Wisconsin","USA","Undrafted"
49,"Alekesej Pokusevski","None","Serbia","2020"
50,"Aleksandar Djordjevic","None","USA","Undrafted"
51,"Aleksandar Radojevic","Barton Community College","USA","1999"
52,"Aleksej Pokusevski","None","Serbia","2020"
53,"Alen Smailagic","None","Serbia","2019"
54,"Alex Abrines","None","Spain","2013"
55,"Alex Acker","Pepperdine","USA","2005"
56,"Alex Caruso","Texas A&M","USA","Undrafted"
57,"Alex Garcia","None","USA","Undrafted"
58,"Alex Kirk","New Mexico","USA","Undrafted"
59,"Alex Len","Maryland","Ukraine","2013"
60,"Alex Poythress","Kentucky","USA","Undrafted"
61,"Alex Scales","Oregon","USA","Undrafted"
62,"Alex Stepheson","USC","USA","Undrafted"
63,"Alexander Johnson","Florida State","USA","2006"
64,"Alexey Shved","None","Russia","Undrafted"
65,"Alexis Ajinca","None","France","2008"
66,"Alfonzo McKinnie","Wisconsin-Green Bay","USA","Undrafted"
67,"Alize Johnson","Missouri State","USA","2018"
68,"Allan Houston","Tennessee","USA","1993"
69,"Allan Ray","Villanova","USA","Undrafted"
70,"Allen Crabbe","California","USA","2013"
71,"Allen Iverson","Georgetown","USA","1996"
72,"Allonzo Trier","Arizona","USA","2018"
73,"Alondes Williams","Wake Forest","USA","Undrafted"
74,"Alonzo Gee","Alabama","USA","Undrafted"
75,"Alonzo Mourning","Georgetown","USA","1992"
76,"Alperen Sengun","None","Turkey","2021"
77,"Alton Ford","Houston","USA","2001"
78,"Alton Lister","Arizona State","USA","1981"
79,"Alvin Jones","Georgia Tech","USA","2001"
80,"Alvin Sims","Louisville","USA","Undrafted"
81,"Alvin Williams","Villanova","USA","1997"
82,"Amal McCaskill","Marquette","USA","1996"
83,"Amar'e Stoudemire","None","USA","2002"
84,"Amida Brimah","Connecticut","USA","Undrafted"
85,"Amile Jefferson","Duke","USA","2017"
86,"Amir Coffey","Minnesota","USA","Undrafted"
87,"Amir Johnson","None","USA","2005"
88,"Anderson Varejao","None","Brazil","2004"
89,"Andrae Patterson","Indiana","USA","1998"
90,"Andray Blatche","None","USA","2005"
91,"Andre Barrett","Seton Hall","USA","Undrafted"
92,"Andre Brown","DePaul","USA","Undrafted"
93,"Andre Dawkins","Duke","USA","Undrafted"
94,"Andre Drummond","Connecticut","USA","2012"
95,"Andre Emmett","Texas Tech","USA","2004"
96,"Andre Iguodala","Arizona","USA","2004"
97,"Andre Ingram","American University","USA","Undrafted"
98,"Andre Miller","Utah","USA","1999"
99,"Andre Owens","Houston","USA","Undrafted"
100,"Andre Roberson","Colorado","USA","2013"
101,"Andrea Bargnani","None","Italy","2006"
102,"Andreas Glyniadakis","None","USA","2003"
103,"Andrei Kirilenko","None","Russia","1999"
104,"Andres Nocioni","None","Argentina","Undrafted"
105,"Andrew Bogut","Utah","Australia","2005"
106,"Andrew Bynum","None","USA","2005"
107,"Andrew DeClercq","Florida","USA","1995"
108,"Andrew Gaze","Seton Hall","USA","Undrafted"
109,"Andrew Goudelock","College of Charleston","USA","2011"
110,"Andrew Harrison","Kentucky","USA","2015"
111,"Andrew Lang","Arkansas","USA","1988"
112,"Andrew Nembhard","Gonzaga","Canada","2022"
113,"Andrew Nicholson","St. Bonaventure","Canada","2012"
114,"Andrew White III","Syracuse","USA","Undrafted"
115,"Andrew Wiggins","Kansas","Canada","2014"
116,"Andris Biedrins","None","Latvia","2004"
117,"Andy Panko","Lebanon Valley","USA","Undrafted"
118,"Andy Rautins","Syracuse","USA","2010"
119,"Anfernee Hardaway","Memphis","USA","1993"
120,"Anfernee Simons","None","USA","2018"
121,"Angel Delgado","None","Dominican Republic","Undrafted"
122,"Ansu Sesay","Mississippi","USA","1998"
123,"Antawn Jamison","North Carolina","USA","1998"
124,"Ante Zizic","None","Croatia","2016"
125,"Anthony Avent","Seton Hall","USA","1991"
126,"Anthony Bennett","Nevada-Las Vegas","Canada","2013"
127,"Anthony Bowie","Oklahoma","USA","1986"
128,"Anthony Brown","Stanford","USA","2015"
129,"Anthony Carter","Hawaii","USA","Undrafted"
130,"Anthony Davis","Kentucky","USA","2012"
131,"Anthony Edwards","Georgia","USA","2020"
132,"Anthony Gill","Virginia","USA","Undrafted"
133,"Anthony Goldwire","Houston","USA","1994"
134,"Anthony Grundy","North Carolina State","USA","Undrafted"
135,"Anthony Johnson","College of Charleston","USA","1997"
136,"Anthony Lamb","Vermont","USA","Undrafted"
137,"Anthony Mason","Tennessee State","USA","1988"
138,"Anthony Miller","Michigan State","USA","1994"
139,"Anthony Morrow","Georgia Tech","USA","Undrafted"
140,"Anthony Parker","Bradley","USA","1997"
141,"Anthony Peeler","Missouri","USA","1992"
142,"Anthony Randolph","Louisiana State","USA","2008"
143,"Anthony Roberson","Florida","USA","Undrafted"
144,"Anthony Tolliver","Creighton","USA","Undrafted"
145,"Antoine Carr","Wichita State","USA","1983"
146,"Antoine Rigaudeau","None","USA","Undrafted"
147,"Antoine Walker","Kentucky","USA","1996"
148,"Antoine Wright","Texas A&M","USA","2005"
149,"Antonio Anderson","Memphis","USA","Undrafted"
150,"Antonio Blakeney","Louisiana State","USA","Undrafted"
151,"Antonio Burks","Memphis","USA","2004"
152,"Antonio Daniels","Bowling Green","USA","1997"
153,"Antonio Davis","Texas-El Paso","USA","1990"
