"p_index","name","college","country","draft_year"
557,"David Nwaba","Cal Poly","USA","Undrafted"
558,"David Robinson","Navy","USA","1987"
559,"David Roddy","Colorado State","USA","2022"
560,"David Stockton","Gonzaga","USA","Undrafted"
561,"David Vanterpool","St. Bonaventure","USA","Undrafted"
562,"David Vaughn","Memphis","USA","1995"
563,"David Wear","UCLA","USA","Undrafted"
564,"David Wesley","Baylor","USA","Undrafted"
565,"David West","Xavier","USA","2003"
566,"David Wingate","Georgetown","USA","1986"
567,"David Wood","Nevada-Reno","USA","Undrafted"
568,"Davion Mitchell","Baylor","USA","2021"
569,"Davis Bertans","None","Latvia","2011"
570,"Davon Reed","Miami","USA","2017"
571,"Day'Ron Sharpe","North Carolina","USA","2021"
572,"De'Aaron Fox","Kentucky","USA","2017"
573,"De'Andre Hunter","Virginia","USA","2019"
574,"De'Anthony Melton","Southern California","USA","2018"
575,"Dean Garrett","Indiana","USA","1988"
576,"Dean Oliver","Iowa","USA","Undrafted"
577,"Dean Wade","Kansas State","USA","Undrafted"
578,"DeAndre' Bembry","St. Joseph's (PA)","USA","2016"
579,"Deandre Ayton","Arizona","Bahamas","2018"
580,"DeAndre Jordan","Texas A&M","USA","2008"
581,"DeAndre Liggins","Kentucky","USA","2011"
582,"Dedric Willoughby","Iowa State","USA","Undrafted"
583,"Dee Brown","Illinois","USA","2006"
584,"Deividas Sirvydis","None","Lithuania","2019"
585,"DeJon Jarreau","Houston","USA","Undrafted"
586,"Dejounte Murray","Washington","USA","2016"
587,"DeJuan Blair","Pittsburgh","USA","2009"
588,"DeJuan Wheat","Louisville","USA","1997"
589,"Dell Curry","Virginia Tech","USA","1986"
590,"Dell Demps","Pacific","USA","Undrafted"
591,"Delon Wright","Utah","USA","2015"
592,"Delonte West","Saint Joseph's","USA","2004"
593,"DeMar DeRozan","USC","USA","2009"
594,"DeMarco Johnson","North Carolina-Charlotte","USA","1998"
595,"DeMarcus Cousins","Kentucky","USA","2010"
596,"DeMarcus Nelson","Duke","USA","Undrafted"
597,"DeMarre Carroll","Missouri","USA","2009"
598,"Demetris Nichols","Syracuse","USA","2007"
599,"Demetrius Jackson","Notre Dame","USA","2016"
600,"Deng Adel","None","South Sudan","Undrafted"
601,"Deng Gai","Fairfield","Sudan (UK)","Undrafted"
602,"Deni Avdija","None","Israel","2020"
603,"Dennis Horner","North Carolina State","USA","Undrafted"
604,"Dennis Rodman","Southeastern Oklahoma State","USA","1986"
605,"Dennis Schroder","None","Germany","2013"
606,"Dennis Scott","Georgia Tech","USA","1990"
607,"Dennis Smith Jr.","North Carolina State","USA","2017"
608,"Denzel Valentine","Michigan State","USA","2016"
609,"Deonte Burton","Iowa State","USA","Undrafted"
610,"DeQuan Jones","Miami (FL)","USA","Undrafted"
611,"Derek Anderson","Kentucky","USA","1997"
612,"Derek Fisher","Arkansas-Little Rock","USA","1996"
613,"Derek Grimm","Missouri","USA","Undrafted"
614,"Derek Harper","Illinois","USA","1983"
615,"Derek Hood","Arkansas","USA","Undrafted"
616,"Derek Strong","Xavier","USA","1990"
617,"Dereon Seabron","North Carolina State","USA","Undrafted"
618,"DerMarr Johnson","Cincinnati","USA","2000"
619,"Deron Williams","Illinois","USA","2005"
620,"Derrick Alston","Duquesne","USA","1994"
621,"Derrick Brown","Xavier","USA","2009"
622,"Derrick Byars","Vanderbilt","USA","2007"
623,"Derrick Caracter","Texas-El Paso","USA","2010"
624,"Derrick Coleman","Syracuse","USA","1990"
625,"Derrick Dial","Eastern Michigan","USA","1998"
626,"Derrick Favors","Georgia Tech","USA","2010"
627,"Derrick Jones Jr.","UNLV","USA","Undrafted"
628,"Derrick McKey","Alabama","USA","1987"
629,"Derrick Rose","Memphis","USA","2008"
630,"Derrick Walton Jr.","Michigan","USA","Undrafted"
631,"Derrick White","Colorado","USA","2017"
632,"Derrick Williams","Arizona","USA","2011"
633,"Derrick Zimmerman","Mississippi State","USA","2003"
634,"DeSagana Diop","None","Senegal","2001"
635,"DeShawn Stevenson","None","USA","2000"
636,"Desmon Farmer","Southern California","USA","Undrafted"
637,"Desmond Bane","TCU","USA","2020"
638,"Desmond Ferguson","Detroit Mercy","USA","Undrafted"
639,"Desmond Mason","Oklahoma State","USA","2000"
640,"Desmond Penigar","Utah State","USA","Undrafted"
641,"Detlef Schrempf","Washington","USA","1985"
642,"DeVaughn Akoon-Purcell","Illinois State","Trinidad and Tobago","Undrafted"
643,"Devean George","Augsburg","USA","1999"
644,"Devin Booker","Kentucky","USA","2015"
645,"Devin Brown","Texas-San Antonio","USA","Undrafted"
646,"Devin Cannady","Princeton","USA","2019"
647,"Devin Ebanks","West Virginia","USA","2010"
648,"Devin Gray","Clemson","USA","1995"
649,"Devin Green","Hampton","USA","Undrafted"
650,"Devin Harris","Wisconsin","USA","2004"
651,"Devin Robinson","Florida","USA","Undrafted"
652,"Devin Vassell","Florida State","USA","2020"
653,"Devon Dotson","Kansas","USA","Undrafted"
654,"Devon Hall","Virginia","USA","2018"
655,"Devontae Cacok","North Carolina-Wilmington","USA","Undrafted"
656,"Devonte' Graham","Kansas","USA","2018"
657,"Devyn Marble","Iowa","USA","2014"
658,"Dewan Hernandez","Miami","USA","2019"
659,"Dewayne Dedmon","Southern California","USA","Undrafted"
660,"Dexter Boney","Nevada-Las Vegas","USA","Undrafted"
661,"Dexter Pittman","Texas","USA","2010"
662,"Deyonta Davis","Michigan State","USA","2016"
663,"Diamond Stone","Maryland","USA","2016"
664,"Diante Garrett","Iowa State","USA","Undrafted"
665,"Dickey Simpkins","Providence","USA","1994"
666,"Didi Louzada","None","Brazil","2019"
667,"Dijon Thompson","UCLA","USA","2005"
668,"Dikembe Mutombo","Georgetown","Congo","1991"
669,"Dillon Brooks","Oregon","Canada","2017"
670,"Dino Radja","None","USA","1989"
671,"Dion Glover","Georgia Tech","USA","1999"
672,"Dion Waiters","Syracuse","USA","2012"
673,"Dionte Christmas","Temple","USA","Undrafted"
674,"Dirk Nowitzki","None","Germany","1998"
675,"DJ Mbenga","None","Democratic Republic of the Congo","Undrafted"
676,"DJ Stephens","Memphis","USA","Undrafted"
677,"DJ Strawberry","Maryland","USA","2007"
678,"DJ White","Indiana","USA","2008"
679,"Domantas Sabonis","Gonzaga","Lithuania","2016"
680,"Dominic McGuire","Fresno State","USA","2007"
681,"Dominick Barlow","None","USA","Undrafted"
682,"Dominique Jones","South Florida","USA","2010"
683,"Dominique Wilkins","Georgia","USA","1982"
684,"Don MacLean","UCLA","USA","1992"
685,"Don Reid","Georgetown","USA","1995"
686,"Donald Royal","Notre Dame","USA","1987"
687,"Donald Sloan","Texas A&M","USA","Undrafted"
688,"Donald Whiteside","Northern Illinois","USA","Undrafted"
689,"Donatas Motiejunas","None","Lithuania","2011"
690,"Donell Taylor","Alabama-Birmingham","USA","Undrafted"
691,"Donnell Harvey","Florida","USA","2000"
692,"Donnie Boyce","Colorado","USA","1995"
693,"Donny Marshall","Connecticut","USA","1995"
694,"Donovan Mitchell","Louisville","USA","2017"
695,"Donovan Williams","UNLV","USA","Undrafted"
696,"Donta Hall","Alabama","USA","Undrafted"
697,"Donta Smith","Southeastern Illinois","USA","2004"
698,"Dontae' Jones","Mississippi State","USA","1996"
699,"Donte DiVincenzo","Villanova","USA","2018"
700,"Donte Grantham","Clemson","USA","Undrafted"
701,"Donte Greene","Syracuse","USA","2008"
702,"Dontell Jefferson","Arkansas","USA","Undrafted"
703,"Dontonio Wingfield","Cincinnati","USA","1994"
704,"Donyell Marshall","Connecticut","USA","1994"
705,"Dorell Wright","None","USA","2004"
706,"Dorian Finney-Smith","Florida","USA","Undrafted"
707,"Doron Lamb","Kentucky","USA","2012"
708,"Doug Christie","Pepperdine","USA","1992"
709,"Doug McDermott","Creighton","USA","2014"
710,"Doug Overton","La Salle","USA","1991"
711,"Doug West","Villanova","USA","1989"
712,"Dragan Bender","None","Croatia","2016"
713,"Dragan Tarlac","None","USA","1995"
714,"Draymond Green","Michigan State","USA","2012"
715,"Drew Barry","Georgia Tech","USA","1996"
716,"Drew Eubanks","Oregon State","USA","Undrafted"
717,"Drew Gooden","Kansas","USA","2002"
718,"Drew Gordon","New Mexico","USA","Undrafted"
719,"Dru Smith","Missouri","USA","Undrafted"
720,"Duane Causwell","Temple","USA","1990"
721,"Duane Ferrell","Georgia Tech","USA","Undrafted"
722,"Duane Washington Jr.","Ohio State","Germany","Undrafted"
723,"Duje Dukan","Wisconsin","Croatia","Undrafted"
724,"Duncan Robinson","Michigan","USA","Undrafted"
725,"Dusty Hannahs","Arkansas","USA","2017"
726,"Dwayne Bacon","Florida State","USA","2017"
727,"Dwayne Jones","Saint Joseph's","USA","Undrafted"
728,"Dwayne Schintzius","Florida","USA","1990"
729,"Dwight Buycks","Marquette","USA","Undrafted"
730,"Dwight Howard","None","USA","2004"
731,"Dwight Powell","Stanford","Canada","2014"
732,"Dwyane Wade","Marquette","USA","2003"
733,"Dylan Windler","Belmont","USA","2019"
734,"Dyson Daniels","None","Australia","2022"
735,"Dzanan Musa","None","Bosnia and Herzegovina","2018"
736,"E'Twaun Moore","Purdue","USA","2011"
737,"Earl Barron","Memphis","USA","Undrafted"
738,"Earl Boykins","Eastern Michigan","USA","Undrafted"
739,"Earl Clark","Louisville","USA","2009"
740,"Earl Cureton","Detroit Mercy","USA","1979"
741,"Earl Watson","UCLA","USA","2001"
742,"Ed Davis","North Carolina","USA","2010"
743,"Ed Gray","California","USA","1997"
744,"Ed O'Bannon","UCLA","USA","1995"
745,"Ed Pinckney","Villanova","USA","1985"
746,"Ed Stokes","Arizona","USA","1993"
747,"Eddie Basden","North Carolina-Charlotte","USA","Undrafted"
748,"Eddie Gill","Weber State","USA","Undrafted"
749,"Eddie Griffin","Seton Hall","USA","2001"
750,"Eddie House","Arizona State","USA","2000"
751,"Eddie Johnson","Illinois","USA","1981"
752,"Eddie Jones","Temple","USA","1994"
753,"Eddie Robinson","Central Oklahoma","USA","Undrafted"
754,"Eddy Curry","None","USA","2001"
755,"Edmond Sumner","Xavier","USA","2017"
756,"Eduardo Najera","Oklahoma","Mexico","2000"
757,"Edwin Ubiles","Siena","Puerto Rico","Undrafted"
758,"Edy Tavares","None","Cabo Verde","2014"
759,"Efthimios Rentzias","None","Greece","1996"
760,"Ekpe Udoh","Baylor","USA","2010"
761,"Elden Campbell","Clemson","USA","1990"
762,"Eldridge Recasner","Washington","USA","1992"
763,"Elfrid Payton","Louisiana-Lafayette","USA","2014"
764,"Elias Harris","Gonzaga","Germany","Undrafted"
765,"Elie Okobo","None","France","2018"
766,"Elijah Bryant","Brigham Young","USA","Undrafted"
767,"Elijah Hughes","Syracuse","USA","2020"
768,"Elijah Millsap","Alabama-Birmingham","USA","Undrafted"
769,"Elliot Perry","Memphis","USA","1991"
770,"Elliot Williams","Memphis","USA","2010"
771,"Elmer Bennett","Notre Dame","USA","1992"
772,"Elmore Spencer","Nevada-Las Vegas","USA","1992"
773,"Elton Brand","Duke","USA","1999"
774,"Emanual Davis","Delaware State","USA","Undrafted"
775,"Emanuel Terry","Lincoln Memorial","USA","Undrafted"
776,"Emeka Okafor","Connecticut","USA","2004"
777,"Emmanuel Mudiay","None","Democratic Republic of the Congo","2015"
778,"Enes Freedom","None","Turkey","2011"
779,"Enes Kanter","Kentucky","Turkey","2011"
780,"Ennis Whatley","Alabama","USA","1983"
781,"Eric Bledsoe","Kentucky","USA","2010"
782,"Eric Dawson","Midwestern State","USA","Undrafted"
783,"Eric Gordon","Indiana","USA","2008"
784,"Eric Leckner","Wyoming","USA","1988"
785,"Eric Maynor","Virginia Commonwealth","USA","2009"
786,"Eric Mika","Brigham Young","USA","2017"
787,"Eric Mobley","Pittsburgh","USA","1994"
788,"Eric Montross","North Carolina","USA","1994"
789,"Eric Moreland","Oregon State","USA","Undrafted"
790,"Eric Murdock","Providence","USA","1991"
791,"Eric Paschall","Villanova","USA","2019"
792,"Eric Piatkowski","Nebraska","USA","1994"
793,"Eric Riley","Michigan","USA","1993"
794,"Eric Snow","Michigan State","USA","1995"
795,"Eric Washington","Alabama","USA","1997"
796,"Eric Williams","Providence","USA","1995"
797,"Erick Barkley","St. John's (NY)","USA","2000"
798,"Erick Dampier","Mississippi State","USA","1996"
799,"Erick Green","Virginia Tech","USA","2013"
800,"Erick Strickland","Nebraska","USA","Undrafted"
801,"Erik Daniels","Kentucky","USA","Undrafted"
802,"Erik McCree","Louisiana Tech","USA","Undrafted"
803,"Erik Murphy","Florida","USA","2013"
804,"Ernest Brown","Indian Hills Community College","USA","2000"
805,"Ersan Ilyasova","None","Turkey","2005"
806,"Ervin Johnson","New Orleans","USA","1993"
807,"Esteban Batista","None","Uruguay","Undrafted"
808,"Etan Thomas","Syracuse","USA","2000"
809,"Etdrick Bohannon","Auburn-Montgomery","USA","Undrafted"
810,"Eugene Omoruyi","Oregon","Nigeria","Undrafted"
811,"Evan Eschmeyer","Northwestern","USA","1999"
812,"Evan Fournier","None","France","2012"
813,"Evan Mobley","Southern California","USA","2021"
814,"Evan Turner","Ohio State","USA","2010"
815,"Evric Gray","Nevada-Las Vegas","USA","Undrafted"
816,"Fab Melo","Syracuse","Brazil","2012"
817,"Fabricio Oberto","None","Argentina","Undrafted"
818,"Facundo Campazzo","None","Argentina","Undrafted"
819,"Felipe Lopez","St. John's (NY)","Dominican Republic","1998"
820,"Felton Spencer","Louisville","USA","1990"
821,"Feron Hunt","Southern Methodist","USA","Undrafted"
822,"Festus Ezeli","Vanderbilt","Nigeria","2012"
823,"Flip Murray","Shaw","USA","2002"
824,"Francisco Elson","California","Netherlands","1999"
825,"Francisco Garcia","Louisville","Dominican Republic","2005"
826,"Frank Brickowski","Penn State","USA","1981"
827,"Frank Jackson","Duke","USA","2017"
828,"Frank Kaminsky","Wisconsin","USA","2015"
829,"Frank Mason","Kansas","USA","2017"
830,"Frank Ntilikina","None","France","2017"
831,"Frank Williams","Illinois","USA","2002"
832,"Frankie King","Western Carolina","USA","1995"
833,"Franz Wagner","Michigan","Germany","2021"
834,"Fred Hoiberg","Iowa State","USA","1995"
835,"Fred Jones","Oregon","USA","2002"
836,"Fred Roberts","Brigham Young","USA","1982"
837,"Fred VanVleet","Wichita State","USA","Undrafted"
838,"Fred Vinson","Georgia Tech","USA","Undrafted"
839,"Freddie Gillespie","Baylor","USA","Undrafted"
840,"Furkan Aldemir","None","Turkey","2012"
841,"Furkan Korkmaz","None","Turkey","2016"
842,"Gabe Pruitt","Southern California","USA","2007"
843,"Gabe Vincent","California-Santa Barbara","USA","Undrafted"
844,"Gabe York","Arizona","USA","Undrafted"
845,"Gabriel Deck","None","Argentina","Undrafted"
846,"Gabriel Lundberg","None","Denmark","Undrafted"
847,"Gal Mekel","Wichita State","Israel","Undrafted"
848,"Gani Lawal","Georgia Tech","USA","2010"
849,"Garret Siler","Augusta State","USA","Undrafted"
850,"Garrett Temple","Louisiana State","USA","Undrafted"
851,"Garrison Mathews","Lipscomb","USA","Undrafted"
852,"Garth Joseph","Saint Rose","USA","Undrafted"
853,"Gary Clark","Cincinnati","USA","Undrafted"
854,"Gary Forbes","Massachusetts","Panama","Undrafted"
855,"Gary Grant","Michigan","USA","1988"
856,"Gary Harris","Michigan State","USA","2014"
857,"Gary Neal","Towson","USA","Undrafted"
858,"Gary Payton","Oregon State","USA","1990"
859,"Gary Payton II","Oregon State","USA","Undrafted"
860,"Gary Trent","Ohio","USA","1995"
861,"Gary Trent Jr.","Duke","USA","2018"
862,"Gaylon Nickerson","Northwestern Oklahoma","USA","1994"
863,"Geno Carlisle","California","USA","Undrafted"
864,"George Hill","Indiana-Purdue Indianapolis","USA","2008"
865,"George King","Colorado","USA","2018"
866,"George Lynch","North Carolina","USA","1993"
867,"George McCloud","Florida State","USA","1989"
868,"George Zidek","UCLA","USA","1995"
869,"Georges Niang","Iowa State","USA","2016"
870,"Georgios Kalaitzakis","None","Greece","2021"
871,"Georgios Papagiannis","None","Greece","2016"
872,"Gerald Brown","Pepperdine","USA","Undrafted"
873,"Gerald Fitch","Kentucky","USA","Undrafted"
874,"Gerald Green","None","USA","2005"
875,"Gerald Henderson","Duke","USA","2009"
876,"Gerald Madkins","UCLA","USA","Undrafted"
877,"Gerald Wallace","Alabama","USA","2001"
878,"Gerald Wilkins","Tennessee-Chattanooga","USA","1985"
879,"Gerard King","Nicholls State","USA","Undrafted"
880,"Gheorghe Muresan","None","USA","1993"
881,"Gian Clavell","Colorado State","Puerto Rico","Undrafted"
882,"Giannis Antetokounmpo","None","Greece","2013"
883,"Gigi Datome","None","Italy","Undrafted"
884,"Gilbert Arenas","Arizona","USA","2001"
885,"Glen Davis","Louisiana State","USA","2007"
886,"Glen Rice","Georgia Tech","USA","2013"
887,"Glenn Robinson","Purdue","USA","1994"
888,"Glenn Robinson III","Michigan","USA","2014"
889,"God Shammgod","Providence","USA","1997"
890,"Goga Bitadze","None","Georgia","2019"
891,"Goran Dragic","None","Slovenia","2008"
892,"Gordan Giricek","None","Croatia","1999"
893,"Gordon Hayward","Butler","USA","2010"
894,"Gorgui Dieng","Louisville","Senegal","2013"
895,"Grant Hill","Duke","USA","1994"
896,"Grant Jerrett","Arizona","USA","2013"
897,"Grant Long","Eastern Michigan","USA","1988"
898,"Grant Riller","College of Charleston","USA","2020"
899,"Grant Williams","Tennessee","USA","2019"
900,"Grayson Allen","Duke","USA","2018"
901,"Greg Anderson","Houston","USA","1987"
902,"Greg Anthony","Nevada-Las Vegas","USA","1991"
903,"Greg Brown III","Texas","USA","2021"
904,"Greg Buckner","Clemson","USA","1998"
905,"Greg Dreiling","Kansas","USA","1986"
906,"Greg Foster","Texas-El Paso","USA","1990"
907,"Greg Graham","Indiana","USA","1993"
908,"Greg Minor","Louisville","USA","1994"
909,"Greg Monroe","Georgetown","USA","2010"
910,"Greg Oden","Ohio State","USA","2007"
911,"Greg Ostertag","Kansas","USA","1995"
912,"Greg Smith","Fresno State","USA","Undrafted"
913,"Greg Stiemsma","Wisconsin","USA","Undrafted"
914,"Greg Whittington","Georgetown","USA","Undrafted"
915,"Greivis Vasquez","Maryland","Venezuela","2010"
916,"Guerschon Yabusele","None","France","2016"
917,"Guillermo Diaz","Miami (FL)","USA","2006"
918,"Gustavo Ayon","None","Mexico","Undrafted"
919,"Guy Rucker","Iowa","USA","1999"
920,"Ha Ha","Yonsei (KOR)","South Korea","2004"
921,"Hakeem Olajuwon","Houston","Nigeria","1984"
922,"Hakim Warrick","Syracuse","USA","2005"
923,"Hamady Ndiaye","Rutgers","Senegal","2010"
924,"Hamed Haddadi","None","Iran","Undrafted"
925,"Hamidou Diallo","Kentucky","USA","2018"
926,"Hanno Mottola","Utah","Finland","2000"
927,"Harold Ellis","Morehouse","USA","Undrafted"
928,"Harold Jamison","Clemson","USA","Undrafted"
929,"Harrison Barnes","North Carolina","USA","2012"
930,"Harry Giles III","Duke","USA","2017"
931,"Harvey Grant","Oklahoma","USA","1988"
932,"Hasheem Thabeet","Connecticut","Tanzania","2009"
933,"Hassan Adams","Arizona","USA","2006"
934,"Hassan Whiteside","Marshall","USA","2010"
935,"Hassani Gravett","South Carolina","USA","2019"
936,"Haywood Highsmith","Wheeling Jesuit","USA","2018"
937,"Haywoode Workman","Oral Roberts","USA","1989"
938,"Hedo Turkoglu","None","Turkey","2000"
939,"Henry Ellenson","Marquette","USA","2016"
940,"Henry James","St. Mary's (TX)","USA","Undrafted"
941,"Henry Sims","Georgetown","USA","Undrafted"
942,"Henry Walker","Kansas State","USA","2008"
943,"Herb Williams","Ohio State","USA","1981"
944,"Herbert Jones","Alabama","USA","2021"
945,"Hersey Hawkins","Bradley","USA","1988"
946,"Hilton Armstrong","Connecticut","USA","2006"
947,"Hiram Fuller","Fresno State","USA","Undrafted"
948,"Hollis Thompson","Georgetown","USA","Undrafted"
949,"Horace Grant","Clemson","USA","1987"
950,"Horace Jenkins","William Paterson","USA","Undrafted"
951,"Horacio Llamas","Grand Canyon","USA","Undrafted"
952,"Hot Rod Williams","Tulane","USA","1985"
953,"Howard Eisley","Boston College","USA","1994"
954,"Hubert Davis","North Carolina","USA","1992"
955,"Ian Clark","Belmont","USA","Undrafted"
956,"Ian Mahinmi","None","France","2005"
957,"Ibrahim Kutluay","None","USA","Undrafted"
958,"Ignas Brazdeikis","Michigan","Canada","2019"
959,"Igor Rakocevic","None","Serbia and Montenegro","2000"
960,"Ike Anigbogu","UCLA","USA","2017"
961,"Ike Austin","Arizona State","USA","1991"
962,"Ike Diogu","Arizona State","USA","2005"
963,"Ike Fontaine","Washington State","USA","Undrafted"
964,"Iman Shumpert","Georgia Tech","USA","2011"
965,"Ime Udoka","Portland State","USA","Undrafted"
966,"Immanuel Quickley","Kentucky","USA","2020"
967,"Ira Bowman","Pennsylvania","USA","Undrafted"
968,"Ira Newble","Miami (OH)","USA","Undrafted"
969,"Isaac Bonga","None","Germany","2018"
970,"Isaac Humphries","Kentucky","Australia","Undrafted"
971,"Isaac Okoro","Auburn","USA","2020"
972,"Isaiah Briscoe","None","USA","Undrafted"
973,"Isaiah Canaan","Murray State","USA","2013"
974,"Isaiah Hartenstein","None","Germany","2017"
975,"Isaiah Hicks","North Carolina","USA","Undrafted"
976,"Isaiah Jackson","Kentucky","USA","2021"
977,"Isaiah Joe","Arkansas","USA","2020"
978,"Isaiah Livers","Michigan","USA","2021"
979,"Isaiah Mobley","Southern California","USA","2022"
980,"Isaiah Rider","Nevada-Las Vegas","USA","1993"
981,"Isaiah Roby","Nebraska","USA","2019"
982,"Isaiah Stewart","Washington","USA","2020"
983,"Isaiah Taylor","Texas","USA","Undrafted"
984,"Isaiah Thomas","Washington","USA","2011"
985,"Isaiah Todd","None","USA","2021"
986,"Isaiah Whitehead","Seton Hall","USA","2016"
987,"Ish Smith","Wake Forest","USA","Undrafted"
988,"Ish Wainright","Baylor","USA","Undrafted"
989,"Ivan Johnson","Cal State-San Bernardino","USA","Undrafted"
990,"Ivan McFarlin","Oklahoma State","USA","Undrafted"
991,"Ivan Rabb","University of California, Berkeley","USA","2017"
992,"Ivano Newbill","Georgia Tech","USA","1994"
993,"Ivica Zubac","None","Croatia","2016"
994,"J.J. Barea","Northeastern","Puerto Rico","Undrafted"
995,"J.P. Macura","Xavier","USA","2018"
996,"J.R. Bremer","St. Bonaventure","USA","Undrafted"
997,"J.R. Giddens","New Mexico","USA","2008"
998,"J.R. Henderson","UCLA","USA","1998"
999,"J.R. Reid","North Carolina","USA","1989"
1000,"Ja Morant","Murray State","USA","2019"
1001,"Jabari Bird","California","USA","2017"
1002,"Jabari Brown","Missouri","USA","Undrafted"
1003,"Jabari Parker","Duke","USA","2014"
1004,"Jabari Smith","Louisiana State","USA","2000"
1005,"Jabari Smith Jr.","Auburn","USA","2022"
1006,"Jabari Walker","Colorado","USA","2022"
1007,"Jack Cooley","Notre Dame","USA","Undrafted"
1008,"Jack Haley","UCLA","USA","1987"
1009,"Jack White","Duke","Australia","Undrafted"
1010,"Jackie Butler","Southern Illinois","USA","Undrafted"
1011,"Jackson Vroman","Iowa State","USA","2004"
1012,"Jacob Evans","Cincinnati","USA","2018"
1013,"Jacob Gilyard","Richmond","USA","Undrafted"
1014,"Jacob Pullen","Kansas State","USA","Undrafted"
1015,"Jacob Wiley","Eastern Washington","USA","Undrafted"
1016,"Jacque Vaughn","Kansas","USA","1997"
1017,"Jaden Hardy","None","USA","2022"
1018,"Jaden Ivey","Purdue","USA","2022"
1019,"Jaden McDaniels","Washington","USA","2020"
1020,"Jaden Springer","Tennessee","USA","2021"
1021,"Jae'Sean Tate","Ohio State","USA","Undrafted"
1022,"Jae Crowder","Marquette","USA","2012"
1023,"Jahidi White","Georgetown","USA","1998"
1024,"Jahlil Okafor","Duke","USA","2015"
1025,"Jahmi'us Ramsey","Texas Tech","USA","2020"
1026,"Jaime Echenique","Wichita State","Colombia","Undrafted"
1027,"JaJuan Johnson","Purdue","USA","2011"
1028,"JaKarr Sampson","St. John's (NY)","USA","Undrafted"
1029,"Jake LaRavia","Wake Forest","USA","2022"
1030,"Jake Layman","Maryland","USA","2016"
1031,"Jake Tsakalidis","None","Greece","2000"
1032,"Jake Voskuhl","Connecticut","USA","2000"
1033,"Jakob Poeltl","Utah","Austria","2016"
1034,"Jalen Brunson","Villanova","USA","2018"
1035,"Jalen Duren","Memphis","USA","2022"
1036,"Jalen Green","None","USA","2021"
1037,"Jalen Harris","Nevada","USA","2020"
1038,"Jalen Johnson","Duke","USA","2021"
1039,"Jalen Jones","Texas A&M","USA","Undrafted"
1040,"Jalen Lecque","None","USA","Undrafted"
1041,"Jalen McDaniels","San Diego State","USA","2019"
1042,"Jalen Rose","Michigan","USA","1994"
1043,"Jalen Smith","Maryland","USA","2020"
1044,"Jalen Suggs","Gonzaga","USA","2021"
1045,"Jalen Williams","Santa Clara","USA","2022"
1046,"Jamaal Franklin","San Diego State","USA","2013"
1047,"Jamaal Magloire","Kentucky","Canada","2000"
1048,"Jamaal Tinsley","Iowa State","USA","2001"
1049,"Jamal Cain","Oakland","USA","Undrafted"
1050,"Jamal Crawford","Michigan","USA","2000"
1051,"Jamal Mashburn","Kentucky","USA","1993"
1052,"Jamal Murray","Kentucky","Canada","2016"
1053,"Jamal Robinson","Virginia","USA","1997"
1054,"Jamal Sampson","California","USA","2002"
1055,"Jamaree Bouyea","San Francisco","USA","Undrafted"
1056,"Jamario Moon","Meridian Community College","USA","Undrafted"
1057,"Jameel Warney","Stony Brook, N.Y.","USA","Undrafted"
1058,"Jameer Nelson","Saint Joseph's","USA","2004"
1059,"Jamel Artis","Pittsburgh","USA","Undrafted"
1060,"Jamel Thomas","Providence","USA","Undrafted"
1061,"James Anderson","Oklahoma State","USA","2010"
1062,"James Augustine","Illinois","USA","2006"
1063,"James Bouknight","Connecticut","USA","2021"
1064,"James Collins","Florida State","USA","1997"
1065,"James Cotton","Long Beach State","USA","1997"
1066,"James Ennis III","Long Beach State","USA","2013"
1067,"James Harden","Arizona State","USA","2009"
1068,"James Johnson","Wake Forest","USA","2009"
1069,"James Jones","Miami (FL)","USA","2003"
1070,"James Lang","None","USA","2003"
1071,"James Michael McAdoo","North Carolina","USA","Undrafted"
1072,"James Nunnally","California-Santa Barbara","USA","Undrafted"
1073,"James Posey","Xavier","USA","1999"
1074,"James Robinson","Alabama","USA","1993"
1075,"James Scott","St. John's (NY)","USA","Undrafted"
1076,"James Singleton","Murray State","USA","Undrafted"
1077,"James Southerland","Syracuse","USA","Undrafted"
1078,"James Thomas","Texas","USA","Undrafted"
1079,"James Webb III","Boise State","USA","Undrafted"
1080,"James White","Cincinnati","USA","2006"
1081,"James Wiseman","Memphis","USA","2020"
1082,"James Young","Kentucky","USA","2014"
1083,"JamesOn Curry","Oklahoma State","USA","2007"
1084,"Jamie Feick","Michigan State","USA","1996"
1085,"Jamie Watson","South Carolina","USA","1994"
1086,"Jamil Wilson","Marquette","USA","Undrafted"
1087,"Jamison Brewer","Auburn","USA","2001"
1088,"Jamorko Pickett","Georgetown","USA","Undrafted"
1089,"JaMychal Green","Alabama","USA","Undrafted"
1090,"Jan Vesely","None","Czech Republic","2011"
1091,"Jannero Pargo","Arkansas","USA","Undrafted"
1092,"JaQuori McLaughlin","Cal-Santa Barbara","USA","Undrafted"
1093,"Jared Butler","Baylor","USA","2021"
1094,"Jared Cunningham","Oregon State","USA","2012"
1095,"Jared Dudley","Boston College","USA","2007"
1096,"Jared Harper","Auburn","USA","Undrafted"
1097,"Jared Jeffries","Indiana","USA","2002"
1098,"Jared Reiner","Iowa","USA","Undrafted"
1099,"Jared Rhoden","Seton Hall","USA","Undrafted"
1100,"Jared Sullinger","Ohio State","USA","2012"
1101,"Jared Terrell","Rhode Island","USA","Undrafted"
1102,"Jarell Eddie","Virginia Tech","USA","Undrafted"
